NAME	ARTIST	COLOR	BAX	CHRIS LIKES	DANCEABILITY (EST)	GENRE TAGS	LEADS	LIFE STAGE	YEAR CHARTED	TAGS	KEY	PITCH	TIME SIGNATURE	TEMPO	DURATION	MIDI SONG NUMBER	MIDI PROGRAM NUMBER	DOCUMENTS	RECORDINGS	MIDI PRESETS	LYRICS	LYRICS (HTML)	CHORDS	CHORDS (HTML)	NOTES	NOTES (HTML)	LAST PERFORMED	ACTIVE	ADDED
Dani California	Red Hot Chili Peppers		Lorne	75	40	Rock	Brad	80	2006		A			96	4:42				Dani California.mp3		Getting born in the state of MississippiPapa was a copperAnd Mama was a hippieIn Alabama she would swing a hammerPrice you gotta pay when you break the panorama\nShe never knew that there wasAnything more than poorWhat in the world does yourCompany take me for\nBlack bandana sweet LouisianaRobbin' on a bank in the state of IndianaShe’s a runner, rebel and a stunnerOn her merry way sayin’Baby what you gonna\nLooking down the barrel of aHot metal 45Just another way to survive\nShe’s a lover baby and a fighterShoulda seen it comin’ whenIt got a little brighterWith a name like Dani CaliforniaThe day was gonna comeWhen I was gonna mourn ya\nA little loaded she wasStealin’ another breathI love my baby to death\nCalifornia rest in peaceSimultaneous releaseCalifornia show your teethShe’s my priestess; I'm your priest\nWho knew the other side of youWho knew what others died to proveToo true to say goodbye to youToo true to say say say\nPush the fader, gifted animatorOne for the now and eleven for the laterNever made it up to MinnesotaNorth Dakota man was a gunnin'For the quota\nDown in the BadlandsShe was savin’ the best for lastIt only hurts when I laughGone too fast\n	<p>Getting born in the state of Mississippi<br />Papa was a copper<br />And Mama was a hippie<br />In Alabama she would swing a hammer<br />Price you gotta pay when you break the panorama</p><p>She never knew that there was<br />Anything more than poor<br />What in the world does your<br />Company take me for</p><p>Black bandana sweet Louisiana<br />Robbin' on a bank in the state of Indiana<br />She’s a runner, rebel and a stunner<br />On her merry way sayin’<br />Baby what you gonna</p><p>Looking down the barrel of a<br />Hot metal 45<br />Just another way to survive</p><p><br />She’s a lover baby and a fighter<br />Shoulda seen it comin’ when<br />It got a little brighter<br />With a name like Dani California<br />The day was gonna come<br />When I was gonna mourn ya</p><p>A little loaded she was<br />Stealin’ another breath<br />I love my baby to death</p><p>California rest in peace<br />Simultaneous release<br />California show your teeth<br />She’s my priestess; I'm your priest</p><p>Who knew the other side of you<br />Who knew what others died to prove<br />Too true to say goodbye to you<br />Too true to say say say</p><p>Push the fader, gifted animator<br />One for the now and eleven for the later<br />Never made it up to Minnesota<br />North Dakota man was a gunnin'<br />For the quota</p><p>Down in the Badlands<br />She was savin’ the best for last<br />It only hurts when I laugh<br />Gone too fast</p><p><br /></p>					2020-01-18	Yes	
Don't Stop Believin'	Don't Stop Believin'			75	80	Rock		1	1981					0	4:12				Don't Stop Believin'.mp3								0000-00-00	Yes	
Drink In My Hand	Eric Church				40	Rock		60	2011		B			113	3:11				Drink In My Hand.mp3								2020-01-18	Yes	
Every Little Thing She Does Is Magic	The Police				60	Rock		1	1981					0	4:20				Every Little Thing She Does Is Magic.mp3									Yes	
Fast As You	Dwight Yoakam				40	Rock		70	1993		E			126	4:45				Fast as You.mp3								2020-01-18	Yes	
Fire	The Jimi Hendrix Experience				40	Rock		80	1971		E			153	2:43				Fire.mp3								2020-01-18	Yes	
Fire Woman	The Cult			75	60	Rock		1	1989					0	5:11				Fire Woman.mp3									Yes	
Folsom Prison Blues	Johnny Cash				40	Rock		80	1957		E			111	2:44				Folsom Prison Blues.mp3								2020-01-18	Yes	
Footloose	Kenny Loggins			25	80	Rock		30	1984					174	3:46				Footloose.mp3									Yes	
For What It's Worth	Buffalo Springfield			25		Rock		1	1966	Rejected	C Maj			112	2:33				For What It's Worth.mp3									Yes	
Forget You	CeeLo Green			75	80	Rock		60	2010		C Maj			128	3:42				Forget You.mp3	Forget You							2020-01-18	Yes	
Funky Town	Lipps, Inc.				80	Rock		1	1979					0	3:59				Funky Town .mp3									Yes	
Get Lucky	Daft Punk			75	80	Rock		60	2013		D min			116	6:09				Get Lucky.mp3	Get Lucky (120)							2020-01-18	Yes	
Get Ready	Rare Earth				60	Rock		70	1969		B			140	2:53				Get Ready.mp3		Never met a girl could make me feel the way that you doWhenever I'm asked what makes my dreams real, I tell 'em you doWell, tweedlee dee, tweedlee dum, look out, baby, 'cause here I come\nYou wanna play hide and seek with love, let me remind yaLovin' you're gonna miss and the time it takes to find yaWell, fe fi fo fo fum, look out, baby, now, here I come\nIf all my friends shouldn't want me to, I think I'll understandHope I get to you before they do, 'cause that's how I planned itWell, tweedlee dee, now, tweedlee dum, look out, baby, now, here I come\n\n	<p>Never met a girl could make me feel the way that you do<br />Whenever I'm asked what makes my dreams real, I tell 'em you do<br />Well, tweedlee dee, tweedlee dum, look out, baby, 'cause here I come</p><p>You wanna play hide and seek with love, let me remind ya<br />Lovin' you're gonna miss and the time it takes to find ya<br />Well, fe fi fo fo fum, look out, baby, now, here I come</p><p>If all my friends shouldn't want me to, I think I'll understand<br />Hope I get to you before they do, 'cause that's how I planned it<br />Well, tweedlee dee, now, tweedlee dum, look out, baby, now, here I come</p><p></p><p></p>					2020-01-18	Yes	
Get the Party Started	P!nk			75	80	Rock		50	2001		C min			129	3:12				Get The Party Started.mp3								0000-00-00	Yes	
Gimme All Your Lovin'	ZZ Top				40	Rock		70	1983		C			120	3:58				Gimme All Your Lovin'.mp3								2020-01-18	Yes	
Gold On the Ceiling	The Black Keys		Chris; Lorne	75	40	Rock	Brad	80	2011		G			130	3:44				Gold On The Ceiling.mp3		Down in the wavesShe screams againRoar at the doorMy mind can’t take much moreI could never drown in\nClouds covered love'sBarb-wired snareStrung up, strung outI just can’t go withoutI could never drown in\n	<p>Down in the waves<br />She screams again<br />Roar at the door<br />My mind can’t take much more<br />I could never drown in</p><p>Clouds covered love's<br />Barb-wired snare<br />Strung up, strung out<br />I just can’t go without<br />I could never drown in</p><p></p>					2020-01-18	Yes	
Grapevine	Creedence Clearwater Revival				40	Rock		60	1970		D			119	4:00				Grapevine.mp3								2020-01-18	Yes	
Gravity	John Mayer			25	10	Rock		1	2006					0	4:05				Gravity.mp3									Yes	
Green River	Creedence Clearwater Revival				40	Rock		80	1969		E			138	2:32				Green River.mp3		Well, take me back down where cool water flows, yeah.Let me remember things I love,Stoppin' at the log where catfish bite,Walkin' along the river road at night,Barefoot girls dancin' in the moonlight.\nI can hear the bullfrog callin' me.Wonder if my rope's still hangin' to the tree.Love to kick my feet 'way down the shallow water.Shoefly, dragonfly, get back t'your mother.Pick up a flat rock, skip it across Green River.Welllllll!\nUp at Cody's camp I spent my days, oh,With flat car riders and cross-tie walkers.Old Cody, Junior took me over,Said, "You're gonna find the world is smould'rin'.And if you get lost come on home to Green River."\nWelllllll!Come on home.	<p>Well, take me back down where cool water flows, yeah.<br />Let me remember things I love,<br />Stoppin' at the log where catfish bite,<br />Walkin' along the river road at night,<br />Barefoot girls dancin' in the moonlight.</p><p>I can hear the bullfrog callin' me.<br />Wonder if my rope's still hangin' to the tree.<br />Love to kick my feet 'way down the shallow water.<br />Shoefly, dragonfly, get back t'your mother.<br />Pick up a flat rock, skip it across Green River.<br />Welllllll!</p><p>Up at Cody's camp I spent my days, oh,<br />With flat car riders and cross-tie walkers.<br />Old Cody, Junior took me over,<br />Said, "You're gonna find the world is smould'rin'.<br />And if you get lost come on home to Green River."</p><p>Welllllll!<br />Come on home.</p>					2020-01-18	Yes	
Groove Is In The Heart	Dee Lite					Rock		0	1990					0	3:54													Yes	
Happy	Pharrell Williams			75	80	Rock		70	2013		F Maj			160	3:52				Happy.mp3	Happy							2020-01-18	Yes	
Happy Together	The Turtles				60	Rock		1	1967					0	2:56				Happy Together.mp3									Yes	
Hard To Handle	The Black Crowes				40	Rock		70	1990		B			104	3:07				Hard To Handle.mp3								2020-01-18	Yes	
Harder To Breathe	Maroon 5				60	Rock		20	2002					0	2:53				Harder To Breathe.mp3									Yes	
Heartache Tonight	Eagles				20	Rock		1	1979					0	4:25				Heartache Tonight.mp3									Yes	
Here Comes the Sun	The Beatles				10	Rock		1	1969					0	3:05				Here Comes The Sun.mp3									Yes	
Hey Ya! 	Outkast			75	80	Rock		80	2003		G Maj			158.5	3:55				Hey Ya!.mp3	Hey Ya! (94)							2020-01-18	Yes	
Home For a Rest	Spirit of the West			75	80	Rock		1	1990					0	4:35				Home For A Rest.mp3								0000-00-00	Yes	
Hooked On a Feeling	Blue Swede			75	60	Rock		1	1974					0	2:52				Hooked On A Feeling.mp3								0000-00-00	Yes	
Hysteria	Muse			75		Rock		1	2003					0	3:47				Hysteria.mp3									Yes	
I Do It So Well	The Struts			75	60	Rock		20	2018					0	3:18				I Do It So Well.mp3								0000-00-00	Yes	
I Don't Feel Like Dancin'	Scissor Sisters			75	80	Rock		1	2006		G Maj			108	4:48				I Don't Feel Like Dancin'.mp3									Yes	
I Gotta Feeling	The Black Eyed Peas			75	80	Rock		50	2009		C Maj			128	4:49			Form2.jpg	I Gotta Feeling.mp3								0000-00-00	Yes	
I Saw Her Standing There	The Beatles			75	80	Rock		80	1963		E			160	2:52				I Saw Her Standing There.mp3								2020-01-18	Yes	
I Wish	Stevie Wonder			75	80	Rock		40	1976	Broken	Bb min			106	4:12				I Wish.mp3								0000-00-00	Yes	
I'm a Believer	Smash Mouth				80	Rock		50	1966				4/4	164	3:03				I'm A Believer.mp3								0000-00-00	Yes	
Jimmy Olsen's Blues	Spin Doctors			75		Rock		0						0	4:38											<p></p>		Yes	
Joy to the World	Three Dog Night					Rock		0	1970					0	3:15													Yes	
Just Came Back	Colin James			25		Rock		0	1990					0	4:57													Yes	
Just What I Needed	The Cars			75	80	Rock		1	1978					0	3:43				Just What I Needed.mp3									Yes	
Keep Your Hands to Yourself	The Georgia Satellites				60	Rock		80	1986		A			115	3:27				Keep Your Hands To Yourself.mp3		I got a little change in my pocket going ching-a-ling-a-lingWanna call you on the telephone, baby, give you a ringBut each time we talk, I get the same old thingAlways, "No huggee, no kissee until I get a wedding ring"My honey, my baby, don't put my love upon no shelfShe said, "Don't hand me no lines and keep your hands to yourself"\nOoh, baby, baby, baby, why you gonna treat me this way?You know I'm still your loverboy, I still feel the same wayThat's when she told me a story 'bout free milk and a cowAnd said, "No huggee, no kissee until I get a wedding vow"My honey, my baby, don't put my love upon no shelfShe said, "Don't hand me no lines and keep your hands to yourself"\nYou see, I wanted her real bad and I was about to give inThat's when she started talking about true love, started talking about sinI said, "Honey, I'll live with you for the rest of my life"She said, "No huggee, no kissee until you make me a wife"My honey, my baby, don't put my love upon no shelfShe said, "Don't hand me no lines and keep your hands to yourself"\n	<p>I got a little change in my pocket going ching-a-ling-a-ling<br />Wanna call you on the telephone, baby, give you a ring<br />But each time we talk, I get the same old thing<br />Always, "No huggee, no kissee until I get a wedding ring"<br />My honey, my baby, don't put my love upon no shelf<br />She said, "Don't hand me no lines and keep your hands to yourself"</p><p>Ooh, baby, baby, baby, why you gonna treat me this way?<br />You know I'm still your loverboy, I still feel the same way<br />That's when she told me a story 'bout free milk and a cow<br />And said, "No huggee, no kissee until I get a wedding vow"<br />My honey, my baby, don't put my love upon no shelf<br />She said, "Don't hand me no lines and keep your hands to yourself"</p><p>You see, I wanted her real bad and I was about to give in<br />That's when she started talking about true love, started talking about sin<br />I said, "Honey, I'll live with you for the rest of my life"<br />She said, "No huggee, no kissee until you make me a wife"<br />My honey, my baby, don't put my love upon no shelf<br />She said, "Don't hand me no lines and keep your hands to yourself"</p><p></p>					2020-01-18	Yes	
Land Downunder	Men at Work			75		Rock		0	1981					0	3:45													Yes	
Learn to Fly	Foo Fighters			25	40	Rock		40	1999		F# Maj			137	3:55				Learn To Fly.mp3									Yes	
Let's Get It On	Marvin Gaye				10	Rock		1	1973					0	4:50				Let's Get It On.mp3									Yes	
Life In the Fast Lane	Eagles				60	Rock		1	1976					0	4:46				Life In The Fast Lane .mp3									Yes	
Life Is a Highway	Tom Cochrane					Rock		50	1991	Rejected	F Maj			103	4:26				Life is a Highway.mp3									Yes	
Light My Fire	The Doors			25	40	Rock		1	1967					0	6:52				Light My Fire.mp3									Yes	
Listen to the Music	The Doobie Brothers			75	60	Rock		60	1972		E			106.5	4:48				Listen to the Music.mp3								2020-01-18	Yes	
Little Bones	The Tragically Hip				60	Rock		1	1991					0	4:45				Little Bones.mp3									Yes	
Little Miss Can't Be Wrong	Spin Doctors			25	40	Rock		20	1991					0	3:52				Little Miss Can't Be Wrong.mp3									Yes	
Little Sister	Elvis Presley			25		Rock		40	1961	Retired	A Major			139	2:34				Little Sister.mp3								0000-00-00	Yes	
Livin' On a Prayer	Bon Jovi			75	80	Rock		50	1986		E min			122	4:10				Livin' On A Prayer.mp3								0000-00-00	Yes	
Locked Out of Heaven	Bruno Mars			75	80	Rock		40	2012	Broken	F Maj			144.5	3:53				Locked Out of Heaven.mp3								0000-00-00	Yes	
Loco-Motion	Little Eva					Rock		1	1962					0	2:25				Loco-Motion.mp3									Yes	
Lonely Boy	The Black Keys			75	40	Rock		80	2011		E			166	3:13				Lonely Boy.mp3		Well I’m so above youAnd it’s plain to seeBut I came to love you anywaySo you pulled my heart outAnd I don’t mind bleedingAny old time you keep me waitingWaiting, waiting\nOh, oh-oh I got a love that keeps me waitingOh, oh-oh I got a love that keeps me waitingI’m a lonely boyI’m a lonely boyOh, oh-oh I got a love that keeps me waiting\nWell your mama kept you but your daddy left youAnd I should’ve done you just the sameBut I came to love youAm I born to bleed?Any old time you keep me waitingWaiting, waiting\nOh, oh-oh I got a love that keeps me waitingOh, oh-oh I got a love that keeps me waitingI’m a lonely boyI’m a lonely boyOh, oh-oh I got a love that keeps me waiting\nHey!\nOh, oh-oh I got a love that keeps me waitingOh, oh-oh I got a love that keeps me waitingI’m a lonely boyI’m a lonely boyOh, oh-oh I got a love that keeps me waiting	<p>Well I’m so above you<br />And it’s plain to see<br />But I came to love you anyway<br />So you pulled my heart out<br />And I don’t mind bleeding<br />Any old time you keep me waiting<br />Waiting, waiting</p><p>Oh, oh-oh I got a love that keeps me waiting<br />Oh, oh-oh I got a love that keeps me waiting<br />I’m a lonely boy<br />I’m a lonely boy<br />Oh, oh-oh I got a love that keeps me waiting</p><p>Well your mama kept you but your daddy left you<br />And I should’ve done you just the same<br />But I came to love you<br />Am I born to bleed?<br />Any old time you keep me waiting<br />Waiting, waiting</p><p>Oh, oh-oh I got a love that keeps me waiting<br />Oh, oh-oh I got a love that keeps me waiting<br />I’m a lonely boy<br />I’m a lonely boy<br />Oh, oh-oh I got a love that keeps me waiting</p><p>Hey!</p><p>Oh, oh-oh I got a love that keeps me waiting<br />Oh, oh-oh I got a love that keeps me waiting<br />I’m a lonely boy<br />I’m a lonely boy<br />Oh, oh-oh I got a love that keeps me waiting</p>					2020-01-18	Yes	
Long Train Runnin'	The Doobie Brothers		Chris ; Lorne	75	60	Rock	Brad	80	1973		E			124	3:27				Long Train Runnin'.mp3		Down around the cornerA half a mile from hereYou see them long trains runnin'And you watch them disappear\nYou know I saw Miss LucyDown along the tracksShe lost her home and her familyAnd she won't be comin' back\nWell the Illinois CentralAnd the Southern Central FreightGotta keep on pushin' Mama'Cause you know they're runnin' late\n[Instrumental]\nWell the Illinois CentralAnd the Southern Central FreightGotta keep on pushin' MamaYou know they're runnin' late\nWhen pistons keep on churnin'And the wheels go 'round and 'roundAnd the steel rails lie cold and hardFor the miles that they go down\nGotta get ya, baby, babyWon't you boogie down?Won't you boogie down?Baby, baby, baby, babyWon't you boogie down?Where the big trains runWhen the trains are movin' on\n	<p>Down around the corner<br />A half a mile from here<br />You see them long trains runnin'<br />And you watch them disappear</p><p>You know I saw Miss Lucy<br />Down along the tracks<br />She lost her home and her family<br />And she won't be comin' back</p><p>Well the Illinois Central<br />And the Southern Central Freight<br />Gotta keep on pushin' Mama<br />'Cause you know they're runnin' late</p><p>[Instrumental]</p><p>Well the Illinois Central<br />And the Southern Central Freight<br />Gotta keep on pushin' Mama<br />You know they're runnin' late</p><p>When pistons keep on churnin'<br />And the wheels go 'round and 'round<br />And the steel rails lie cold and hard<br />For the miles that they go down</p><p>Gotta get ya, baby, baby<br />Won't you boogie down?<br />Won't you boogie down?<br />Baby, baby, baby, baby<br />Won't you boogie down?<br />Where the big trains run<br />When the trains are movin' on</p><p><br /></p>					2020-01-18	Yes	
Lose Yourself to Dance	Daft Punk			75	60	Rock		1	2013					0	5:53				Lose Yourself To Dance.mp3									Yes	
Losing My Religion	R.E.M.			25	10	Rock		1	1991		A min			126	4:28				Losing My Religion.mp3									Yes	
Love Runs Out	OneRepublic			75	80	Rock		60	2013		G min			120	3:44				Love Runs Out.mp3	Love Runs Out (117)							2020-01-18	Yes	
Mary Jane's Last Dance	Tom Petty & The Heartbreakers			25	10	Rock		80	1993		A			92	4:32				Mary Jane's Last Dance.mp3								2020-01-18	Yes	
Miss You	The Rolling Stones			75	60	Rock		80	1978		A			110	4:48				Miss You.mp3								2020-01-18	Yes	
Money For Nothing	Dire Straits				40	Rock		1	1985					0	8:26				Money For Nothing.mp3						http://www.allofmp3.com\nCleaned by TuneUp!	<p>http://www.allofmp3.com</p><p>Cleaned by TuneUp!</p>		Yes	
Moves Like Jagger	Maroon 5			75	80	Rock		60	2010		B			128	3:21				Moves Like Jagger.mp3	Moves Likes Jagger (87)							2020-01-18	Yes	
Mr. Brightside	The Killers			75	80	Rock		20	2003		C# Maj			148	3:42				Mr. Brightside.mp3								0000-00-00	Yes	
Mr. Jones	Counting Crows			75	80	Rock		1	1993					0	4:31				Mr. Jones.mp3								0000-00-00	Yes	
Mrs. Robinson	Simon & Garfunkel				80	Rock		1	1968					0	4:07				Mrs. Robinson.mp3								0000-00-00	Yes	
